frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:26.656113093 PKT,,,,,,,
Apr  1, 2026 21:29:41.722130316 PKT,192.168.100.39,142.251.152.119,17,,,49698,443
Apr  1, 2026 21:29:41.731029166 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:41.731030109 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:29:41.731100367 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:41.731646647 PKT,192.168.100.39,104.18.39.21,6,48048,443,,
Apr  1, 2026 21:29:41.784328978 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:29:42.983073426 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:42.983369579 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:43.504222963 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:43.504223210 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:43.507987520 PKT,192.168.100.39,192.168.100.1,17,,,36682,53
Apr  1, 2026 21:29:43.903281364 PKT,192.168.100.1,192.168.100.39,17,,,53,36682
Apr  1, 2026 21:29:44.458005422 PKT,192.168.100.39,142.251.152.119,17,,,49698,443
Apr  1, 2026 21:29:44.867984204 PKT,192.168.100.39,104.26.6.95,6,55782,443,,
Apr  1, 2026 21:29:45.891942964 PKT,192.168.100.39,35.190.80.1,6,57108,443,,
Apr  1, 2026 21:29:46.161719512 PKT,142.251.152.119,192.168.100.39,17,,,443,49698
Apr  1, 2026 21:29:46.171561117 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:46.171562093 PKT,192.168.100.108,239.255.255.250,17,,,57563,1900
Apr  1, 2026 21:29:46.171562426 PKT,104.26.6.95,192.168.100.39,6,443,55782,,
Apr  1, 2026 21:29:46.171673487 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:46.221436807 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:47.295057770 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:48.258124117 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:48.258125055 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:48.258125365 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:29:48.258125609 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:48.258125855 PKT,192.168.100.136,239.255.255.250,17,,,43666,1900
Apr  1, 2026 21:29:48.258126101 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:29:48.258126348 PKT,192.168.100.136,239.255.255.250,17,,,47655,1900
Apr  1, 2026 21:29:48.258223602 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:48.259236119 PKT,192.168.100.39,172.64.148.235,6,56006,443,,
Apr  1, 2026 21:29:48.259589645 PKT,192.168.100.39,104.18.39.21,6,44332,443,,
Apr  1, 2026 21:29:48.313289019 PKT,,,,,,,
Apr  1, 2026 21:29:48.319806082 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:48.529273862 PKT,192.168.100.136,239.255.255.250,17,,,54887,1900
Apr  1, 2026 21:29:48.529274737 PKT,192.168.100.136,239.255.255.250,17,,,42200,1900
Apr  1, 2026 21:29:48.529275045 PKT,192.168.100.136,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:29:48.529275288 PKT,,,,,,5353,5353
Apr  1, 2026 21:29:48.529275544 PKT,192.168.100.136,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:29:48.529275787 PKT,,,,,,5353,5353
Apr  1, 2026 21:29:48.529276037 PKT,192.168.100.85,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:29:48.529276286 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:48.529552501 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:29:48.529552983 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:29:48.529553314 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:29:48.529624828 PKT,192.168.100.39,172.64.148.235,6,56006,443,,
Apr  1, 2026 21:29:48.537356500 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:48.797567818 PKT,192.168.100.39,192.168.100.1,17,,,57015,53
Apr  1, 2026 21:29:49.576027877 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:49.711276961 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:50.563934193 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:50.901841492 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:50.901842557 PKT,192.168.100.135,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:29:50.901842854 PKT,,,,,,5353,5353
